img,meanLum,sdLum
"250 Marquette.jpg",137.525069387755,23.1202464523109
"430 Oak Grove.jpg",137.537602040816,23.1506464485225
"5Th Street Towers.jpg",137.507889795918,23.143146448723
"Acadia Cafe.jpg",137.489340816327,23.1621291153752
"Agra Culture Kitchen.jpg",137.522951020408,23.116220998482
"Akron Canal Park.jpg",137.505114285714,23.3114829890808
"Alabama State Capitol.jpg",137.531887755102,23.1270758253675
"Alexander Ramsey House.jpg",137.519073469388,23.1238164060857
"Allianz Field.jpg",137.500934693878,23.1511648920965
"American Swedish Institute.jpg",137.49252244898,23.131604874851
"Amill Artist Lofts.jpg",137.52802244898,23.1404434025107
"Angel Hall Ann Arbor.jpg",137.51282244898,23.1552226857273
"Ann Arbor Mural.jpg",137.41862244898,23.1375572886601
"Annies Parlour.jpg",137.522275510204,23.1024669971124
"Anthony Cragg Sculpture.jpg",137.500016326531,23.2015418206824
"Ard Godfrey House.jpg",137.520312244898,23.133633780764
"Armory.jpg",137.497626530612,23.1357497569373
"Arvonne Fraser Library.jpg",137.506324489796,23.1648978995096
"Aster Cafe.jpg",137.471869387755,23.1742028569789
"At T Tower.jpg",137.454112244898,23.1231690599528
"Augsburg University.jpg",137.524244897959,23.1705512415649
"Band Box Diner.jpg",137.481063265306,23.1842247688978
"Baseball Statue.jpg",137.513981632653,23.1927674428216
"Basillica.jpg",137.456495918367,23.2271800068013
"Baxter Arena.jpg",137.516444897959,23.2556867518468
"Bell Museum.jpg",137.484683673469,23.1925981793352
"Bethlehem Baptist Church.jpg",137.548804081633,23.1621152191876
"Black Coffee And Waffle Bar.jpg",137.473820408163,23.3075715195551
"Blue Chicken Sculpture.jpg",137.454383673469,23.2758272780429
"Boom Island Lighthouse.jpg",137.529816326531,23.134579665358
"Boynton Health.jpg",137.505542857143,23.2440850911735
"Brit’s Pub.jpg",137.612975510204,23.1970254031525
"Bronze Bulls.jpg",137.524283673469,23.1086058290938
"Bruininks Hall.jpg",137.477142857143,23.2747221207025
"Building And Tower Statue.jpg",137.460381632653,23.431877418691
"CHS Field.jpg",137.498818367347,23.1326036949105
"Caleb Ddorr Statue.jpg",137.503253061224,23.1394771259528
"Campbell Mithun Tower.jpg",137.523685714286,23.2684093938892
